ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
37-36,22/03/23 15:53:39,https://twitter.com/farfetch2021/status/1559101587418927104,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@farfetch2021,slapsoil 😜😂,I don’t care if people don’t like me. I wasn’t put on this earth to entertain anyone😜👊,Anonymous,04/18,1023,543,N/A,tomoh hahaha  dapat walang Feb 25 fake Edsa at walang Aug 21 dahil si ninoy ay namatay hawak hawak ang malaysian citizenship not filipinoy  in short Aquinos are the biggest lies in ph history,,"Text, reply",15/08/22 16:55,,Emotional,2,0,1,,,,"According to the law, the EDSA revolution is honored and renowned by being declared a holiday. It is recognized as an important historical event in the history of the Philippines, and is renowned as the first bloodless revolution in the whole world.",,,,,,
37-37,22/03/23 15:55:54,https://twitter.com/ransrzj60/status/1558689199150477312,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@ransrzj60,ransrzj60,N/A,Anonymous,06/21,33,5,"Iloilo City, Western Visayas",Prior to the fake Edsa big joke FEM had the plans 20 years ahead the  power crisis that hit PHL. But when Cory illegal takeover and grab the power they junked the best solution to our problem which is the Nuclear plant in Bataan. Why? Because the credit is for Marcos not theirs.,,"Text, reply",14/08/22 13:37,,"Emotional, Rational",0,0,0,,,,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-38,22/03/23 15:56:05,https://twitter.com/proudilocana29/status/1556500657020207104,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@proudilocana29,proudilocana29,STAND UP FOR TRUTH! LOVE OUR COUNTRY AND OUR COUNTRYMEN I SUPPORT MARCOS because I’m a LOYALIST plus Inday Sara now,Anonymous,06/11,607,508,"Makati City, Philippines","They don’t get it! All we know is that ML ended 1981. So EDSA is fake to consider this ended ML. Funny who believed!
#MiMDay6Showing 
#MAIDinMALACANANG",,"Text, reply (quote tweet)",08/08/22 12:40:00,,Emotional,1,0,0,,,,"Although Martial Law has been officially proclaimed to have ended in 1981, former president Ferdinand Marcos still ruled with an iron fist. The EDSA revolution started after Marcos’ mass cheating in the snap election with former president Cory Aquino.",,,,,,
37-39,22/03/23 16:02:23,https://twitter.com/getrichpinoy/status/1556457236393705477,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@getrichpinoy,Get Rich Pinoy!,Philippine Stock Market  - Economics - Tech StartUp Advisor - Free Spirit,Anonymous,10/23,216,1498,"Dubai, United Arab Emirates","Congrats! #MAIDinMALACANANG #MarcosParin 🤩❤️ Katips #KatipsTheMovie DILAWAN talo nanaman ang Presidente #LenlenLoser ang Vise Presidente lol HAHAHA! 
👊 No more EDSA FAKE People Power Brainwashing 🤣✌️ 

#31M Strong #PBBM 🇵🇭💪 
📸 Darryll Yap {Image: Maid in Malacañang highest daily gross in One Cinema Mall 1 MILLION PESOS}",,"Text, image",08/08/22 09:48,,Emotional,1,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-40,22/03/23 16:04:38,https://twitter.com/Agalancelot1225/status/1555976707697512449,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@Agalancelot1225,Reinzz2632,MA Linguistics/Teacher,Identified,03/17,188,340,"Florida, USA",Ordinary Filipinos who  witnessed the fake Edsa People Power are still alive & stating that this was a sham. Why these stupid historians claimed that it's for real? It's not. There were only less than a Million Filipinos there & it never represented the entire population.,,"Text, reply",07/08/22 1:58,,"Rational, Emotional",0,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-41,22/03/23 16:05:57,https://twitter.com/Agalancelot1225/status/1555951342765703170,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@Agalancelot1225,Reinzz2633,MA Linguistics/Teacher,Identified,03/17,188,340,"Florida, USA","Who are you to say that you hold the gospel truth? We,the ordinary Filipinos who witnessed Edsa People Power are still alive. We debunk your truth because your truth is fake & only installed corrupt people in the govt for abt 3 decades.",,"Text, reply",07/08/22 0:18,,Emotional,6,0,2,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-42,22/03/23 16:08:11,https://twitter.com/MamTessCD/status/1555903730720972800,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@MamTessCD,Teresita Curato-Dapoc,N/A,Identified,12/17,1800,1082,Philippines,"TUMPAK, see the movie, MIM Para MA Educate Kayo Pinklawan, Dilawang Liberal sa totoong DIKTADOR mula Fake Edsa GATHERING",,"Text, reply",06/08/22 21:08,,Emotional,1,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-43,22/03/23 16:10:19,https://twitter.com/MamTessCD/status/1555901520834572289,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@MamTessCD,Teresita Curato-Dapoc,N/A,Identified,12/17,1800,1082,Philippines,"Wow, that's gonna be exciting, panoorin din Yan NG 31 M Filipinos and counting Lalo yung nakapanood na NG MIM, lakaS Maka Educate sa film viewers NG pelikula Kung Sino talagang DIKTADOR mula Fake Edsa ni Cory, ParingKatolikoOligarks, Komunista, Polpolitikong Dilawan,for36yrs",,"Text, reply",06/08/22 21:00,,Emotional,3,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-44,22/03/23 16:14:33,https://twitter.com/UNITEAMPH2022/status/1553223018855399425,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@UNITEAMPH2022,Bagong Pilipinas,"“No law shall be passed abridging the freedom of speech, of expression, or of the press.”",Anonymous,06/22,13,6,Philippines,"Sa mga hindi nakaranas sa panahon ng 1986 EDSA, ang EDSA ay isang FAKE REVOLUTION. {Image: 1986 EDSA The FAKE REVOLUTION poster}",,"Text, image",30/07/22 11:36,,Rational,0,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-45,22/03/23 16:15:47,https://twitter.com/SagravSint/status/1550597186882179077,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@SagravSint,Sint Sagrav,Mahaba ang pasencya,Identified,12/21,8,1,N/A,"Kaming nakaabot ng Martial Law sa panahon ni FEM , EDSA 1 fake napanood ko ang trailers ng Maid in the Phils ay wla akong nakitang mali,dapat lang ituwid ang tunay na pangyayari  Ikaw joel lamangan matanda kna gagawa ka ng Pelikula puro kasinungalingan, nasaan ang budhi mo",,"Text, reply",23/07/22 5:42,,Emotional,0,0,0,,,,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-46,22/03/23 16:19:59,https://twitter.com/leebee2020/status/1549719873093533696,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@leebee2020,leebee,Real heroes are never in yellow,Anonymous,02/20,111,54,N/A,"Not me. I was 16 and almost did not graduate high school because of the fake uprising called Edsa. It didn’t make sense to me then and I hated it. You are right, now we all know what it really is, “budol”",,"Text, reply",20/07/22 19:36,,Emotional,1,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-47,22/03/23 16:22:10,https://twitter.com/MamTessCD/status/1549708104161325056,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@MamTessCD,Teresita Curato-Dapoc,N/A,Identified,12/17,1803,1083,Philippines,"Ito ba ang sinasamba NG mga dilawan, pinklawan, walang puso sa buhay NG mga Pilipino, Kaya nakarma pamilya dahil sa masamang ugali at pagdidiin sa pamilya NG mga Marcos sa hirap NG buhay na naranasan NG mga mamaMayan 36 yrs after fake edsa, LumaBas na Katotohanan sa TunayNPngyyri",,"Text, reply",20/07/22 18:49,,Emotional,2,0,1,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-48,22/03/23 16:26:21,https://twitter.com/jadejeweljodi/status/1549423827171659776,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@jadejeweljodi,Petra,“Facts Don’t Care about your feelings”. Ben Shapiro,Anonymous,06/10,425,249,"Moneterey, CA","Alin yung 2 million nasa Manila karamihan pa mga uzzizero !😜😅🤪 
   Hijack election at fake Pulpol revolution ang Edsa ikaw na lang ang tulog 😏",,"Text, reply",20/07/22 00:00,,Emotional,0,0,0,,,,"According to the law, the EDSA revolution is honored and renowned by being declared a holiday. It is recognized as an important historical event in the history of the Philippines, and is renowned as the first bloodless revolution in the whole world.",,,,,,
37-49,22/03/23 16:33:27,https://twitter.com/getrichpinoy/status/1549417702204137472,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@getrichpinoy,Get Rich Pinoy!,"Philippine Stock Market  - Economics - Tech StartUp Advisor - Free Spirit",Anonymous,10/09,216,1497,"Dubai, United Arab Emirates",EDSA Pres. Marcos is the Real HERO ❤️✌️ Its a FAKE People Power Revolution 😅😁 #DiLawan No More. Filipino people already know the TRUTH 🤩💪 #MAIDinMALACANANG,,"Text, reply (quote tweet)",19/07/22 23:35,,Emotional,1,0,0,,,,"According to the law, the EDSA revolution is honored and renowned by being declared a holiday. It is recognized as an important historical event in the history of the Philippines, and is renowned as the first bloodless revolution in the whole world.",,,,,,
37-50,22/03/23 16:34:37,https://twitter.com/maria47215/status/1549332078306934784,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@maria47215,シャネル❤️,"Great is the LORD, and greatly to be praised; and his greatness is unsearchable. PSALMS 145:3🙏🏻📖   CHURCH OF GOD - ACTS 20:28",Identified,07/14,3150,1950,Japan,Basurang yellowmites fake EDSA NEVERAGAIN 👎🏻 Tama n minsang ginago niyo ang Bayang Pilipinas . #SawayinNawaKayo mga teroristang communist yellowmites,,"Text, reply",19/07/22 17:55,,Emotional,1,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-51,22/03/23 16:37:02,https://twitter.com/redMe23990000/status/1547373021744226304,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@redMe23990000,red Me,"Father, Husband, clinician, Medical professional businessman, first responder, MMA fanatic, Traveler, Guns and Runner from Texas USA. 🇺🇲🇵🇭",Anonymous,06/22,17,1,N/A,"Of course your are referring to the : previous Aquino administrations, the fake 1986 EDSA peoples power revolution, the phony hero Ninoy NPA who conspired the plaza Miranda bombings of the 70 and the least trusted media outlet ever in Philippines history Rappler. yes we concur",,"Text, reply",14/07/22 8:10,,Emotional,4,1,0,,,,"According to the law, the EDSA revolution is honored and renowned by being declared a holiday. It is recognized as an important historical event in the history of the Philippines, and is renowned as the first bloodless revolution in the whole world.",,,,,,
37-52,22/03/23 16:41:14,https://twitter.com/MamTessCD/status/1547048409172807680,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@MamTessCD,Teresita Curato-Dapoc,N/A,Identified,12/17,1803,1083,Philippines,"C R Y M E A R I V E R Theme song NG mga nanini wala PA sa Fake Ed SA ni Cory at mga tropang nag pasimuno daw NG Edsa revolution, hehe,mga bulong brigade nagsulsol sa biuda NG pinatay sa tarmac NG airport na hanggang ngayon ay di matrace sino pumatay, 36 yrs tayoNG pinaikotNgTssms",,"Text, reply",13/07/22 10:40,,Emotional,1,1,0,,,,"According to the law, the EDSA revolution is honored and renowned by being declared a holiday. It is recognized as an important historical event in the history of the Philippines, and is renowned as the first bloodless revolution in the whole world.",,,,,,
37-53,22/03/23 16:42:27,https://twitter.com/LeoMeiales/status/1546728804290547712,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@LeoMeiales,leo meiales,hard working,Identified,05/22,13,0,N/A,The false history of the EDSA 1 should be revised and the fake hero that was changed to Manila International Airport should also be removed.,,"Text, reply",12/07/22 13:30,,"Emotional, Rational",3,0,0,,,,"According to the law, the EDSA revolution is honored and renowned by being declared a holiday. It is recognized as an important historical event in the history of the Philippines, and is renowned as the first bloodless revolution in the whole world.",,,,,,
37-54,22/03/23 16:45:39,https://twitter.com/getrichpinoy/status/1546690067791392771,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@getrichpinoy,Get Rich Pinoy!,Philippine Stock Market  - Economics - Tech StartUp Advisor - Free Spirit,Anonymous,10/09,216,1497,"Dubai, United Arab Emirates",EDSA the Fake People Power Revolution 😏😅✌️ #NinoyNotAHero,,"Text, reply (quote tweet)",12/07/22 10:57,,Emotional,0,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-55,22/03/23 16:46:55,https://twitter.com/MadumbPinakyo/status/1546484556181770242,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@MadumbPinakyo,Pinocchio,lalaban para sa bayan 🇵🇭✌👊,Anonymous,11/21,474,480,The Netherlands,"Baka yong spirit ni 
@gtongi ang nag martsa sa EDSA panahon ng fake people power",,Text. reply (quote tweet),11/07/22 21:20,,Emotional,0,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-56,22/03/23 16:49:18,https://twitter.com/Arome91216783/status/1546264605697011712,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@Arome91216783,Arome,N/A,Anonymous,01/17,129,107,Quezon City,"standing up for the truth about history? like marching in EDSA during the fake revolution at the age of 8? puhlease, before you check others about truth, check yourself first <GUFFAW>",,"Text, reply",11/07/22 6:46,,Emotional,8,0,0,,,,"According to the law, the EDSA revolution is honored and renowned by being declared a holiday. It is recognized as an important historical event in the history of the Philippines, and is renowned as the first bloodless revolution in the whole world.",,,,,,
37-57,22/03/23 16:53:40,https://twitter.com/CTvxq2/status/1545213598154182656,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@CTvxq2,Andrea**,lgbtqrstuvwxyz,Anonymous,02/21,1369,177,N/A,The fake Edsa revolution only become peaceful because PFEM asked his military not to bomb the people in Edsa. Also the Yellowtards who joined the fake Edsa rebolbollusyon were violent. Wake up from your delusions!,,"Text, reply",08/07/22 9:10,,"Rational, Emotional",0,0,0,,,,"According to the law, the EDSA revolution is honored and renowned by being declared a holiday. It is recognized as an important historical event in the history of the Philippines, and is renowned as the first bloodless revolution in the whole world.",,,,,,
37-58,22/03/23 16:55:52,https://twitter.com/ArleneKapatid/status/1544647743863672832,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@ArleneKapatid,The Arlene,Sorry to burst your bubble but i can't let this butchery and manipulation go on any further.,Anonymous,02/21,199,263,N/A,true. fake yang EDSA PP. Chismis lang yan. Gawa2 ng mga pinklawan. 🤮,,"Text, reply (quote tweet)",06/07/22 19:41,,Emotional,5,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-59,22/03/23 16:57:21,https://twitter.com/markmasalunga/status/1544636481091686400,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@markmasalunga,Mark Masalunga,N/A,Identified,09/11,459,643,"Lipa City, Batangas ",Unless convicted ang mga Marcoses with Finality ng Supreme Court nasa side nila ako. Naniniwala ako na minaniobra ng Dilawan and Americans kaya nagkaroon ng EDSA people power. Hanggat Hindi rin nalalaman kung sino ang nagpapatay kay Ninoy fake yang EDSA PP.,,"Text, reply",06/07/22 18:56,,Emotional,1,1,1,,,,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-60,30/03/23 16:39:58,https://twitter.com/lstjfoexyyvzlg5/status/1045528300846600192,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,EDSA revolution economy,@lstjfoexyyvzlg5,.,N/A,Anonymous,05/18,29,3,N/A,Philippine   economy  has  been  downgraded   since   1986   Edsa  Revolution.  Investors  fell   overseas .   Marcos  must  have  stayed   and  Philippines   must  have  been    tne  richest   country.  Corrupt  presidenrs  after  Marcos  is   a   big  blow.,,"Text, Repy",28/09/18 12:19,,Rational,1,0,1,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-61,22/03/23 14:48:19,https://twitter.com/loidasandiego77/status/1496496176937553924,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"Peke, EDSA",@loidasandiego77,Babaeng TagaMalolos,Isa akong Pilipino. Manunulat at isang kaibigan; nadaya ng mga leftist salamat at nagising. Ngayon ako'y isang digital storyteller.,Anonymous,04/16,2 126,21 617,"Santa Maria, Central Luzon","Sabi ko sa mga anak ko, peke ang Edsa People Power. Kung di dahil sa EPP tiyak na maunlad na ang Pilipinas. Hindi totoong may diwa ang EDSA. 

{Alt-text image: EDSA people power revolution background image with text ""WHAT ARE THE EDSA PEOPLE POWER STORIES THAT YOU HAVE HEARD FROM YOUR PARENTS / GRANDPARENTS ?""}",,"Text, Image","Feb 23, 2022",,Emotional,55,4,13,1,,FALSE,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing, showing that the Philippines is going downhill in terms of economic growth and data also shows that the country's debt is increasing too.",,,,,,
37-62,22/03/23 15:18:49,https://twitter.com/bluebluerskies/status/1285612841597308933,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA 1, fake revolution",@bluebluerskies,Skye Bleux 💖,"🙏🙏🙏

🇵🇭 @bongbongmarcos
2022 President Marcos http://bit.ly/3hyyCc2 
Imelda Marcos http://bit.ly/3OdjheG",Anonymous ,03/11,2 645,1 269,N/A,Akala kasi ng mga ka generation niya na natapos ang martial law in 1986 dahil daw sa EDSA 1 fake revolution 1986. Mga fake news ng biased yellow media na ang martial law daw ay hanggang 1986. Ang totoo ay wala ng martial law since 1981. Marcos won as president in 1981 and 1986.,,"Text, Reply","Jul 22, 2020",,Emotional,13,3,0,1,,NEED CONTEXT,"Although Martial Law has been officially proclaimed to have ended in 1981, former president Ferdinand Marcos still ruled with an iron fist. The EDSA revolution started after Marcos’ mass cheating in the snap election with former president Cory Aquino.",,,,,,
37-63,22/03/23 15:19:30,https://twitter.com/marredroyalty/status/1278871171316867072,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"fake, EDSA revolution",@marredroyalty,Marjhon Havana,"🇵🇭 Filipino Scientists, Filipino Inventors

(rare)",Anonymous ,06/18,2 476,2 172,N/A,"6.) The CIA, The Oligarcs, The Roman Catholic has join forces to overthrow president Marcos only 3% out of 100% population joined the fake EDSA Revolution (some are blinded by ABS CBN propaganda, some are forced, some are payed)",,"Text, Reply (Thread)","Jul 3, 2020",,Rational,0,1,0,0,,UNPROVEN,There is no solid evidence that the people power revolution was organized by an international organization.,,,,,,
37-64,22/03/23 15:30:18,https://twitter.com/BadongBadongski/status/1234454868078686208,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA revolution, fake",@BadongBadongski,🇵🇭❤️💚BADONG🇰🇷🇸🇪🇹🇭🇹🇼🇸🇬🇺🇸🇻🇳🇲🇼🇮🇩,think freely with informed choices,Anonymous ,11/13,562,570,Philippines,"EDSA REVOLUTION IS FAKE | FUNDED BY CIA | https://youtu.be/9Sw7ObwzxbE via 
@YouTube

{youtube-link: https://youtu.be/9Sw7ObwzxbE}",,"Text, Link","Mar 2, 2020",,Rational,0,0,0,0,,UNPROVEN,There is no solid evidence that the people power revolution was organized by an international organization.,,,,,,
37-65,22/03/23 15:30:54,https://twitter.com/Willmor73195532/status/1232178710112956416,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"Edsa, fake revolution, propaganda",@Willmor73195532,Willmor,positive passionate,Anonymous ,11/19,47,1,N/A,"EDSA 1 was all about fake revolution.

It was a propaganda of manipulation ,  deception , branwashing and indoctrination of the people, imposing on the minds of the people that the Aquinos are heroes/ saints.

#NeverForget because #NeverAgain !!!

CTTO: Atty. Larry Gadon",,"Text, Reply","Feb 25, 2020",,Rational,3,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-66,23/03/23 9:28:27,https://twitter.com/brndngrn/status/1284466476431204359,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA revolution, pekeng revolution",@brndngrn,вrndngrn #𝔖𝔬𝔠𝔦𝔞𝔩𝔇𝔦𝔰𝔱𝔞𝔫𝔠𝔦𝔫𝔤,˙uoıʇɔıɟ uɐɥʇ ɹǝpɹıǝʍ ǝɹɐ sɥʇnɹʇ ǝɯoS,Anonymous ,09/10,1 505,951,N/A,eksaherada. panis na po ang Edsa revolution. nadala na mga tao sa pekeng rebolusyon. walang ginhawa under cory and noynoy. dami pa shabu.,,"Text, Reply","Jul 18, 2020",,Emotional,0,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-67,23/03/23 9:30:07,https://twitter.com/DeeReese2113/status/1098173048845299713,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA revolution, peke",@DeeReese2113,Dugong Maharlika,"Simpleng Pilipino.. Para sa pagbabago, pagwasto, pag-unlad at kapayapaan ng bayan kong Pilipinas..!!",Anonymous ,09/17,145,169,"Manila, Philippines",Wala ng saysay yang edsa revolution na yan.. Peke at malinaw na sa lahat ang mga katarantaduhan ginawa ng Dilawang LP.. Huwag ng magpaloko pa sa mga manlgnanakaw at mga sinungaling na LP at mga alyado nito.. Suportahan ang pagbabago sa Pilipinas..Gising na.!!,,"Text, Reply","Feb 20, 2019",,Emotional,0,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-68,23/03/23 21:23:09,https://twitter.com/eirolgmd/status/1501790067546677251,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, peke",@eirolgmd,iamgloemd🇵🇭🇵🇭❤️,"Homemaker , wife, sinner saved by Grace ..",Anonymous ,03/17,113,49,Philippines,"not so new , galawan nila yan, madumi lumaban ang LPigs, sobra ang pagka ganid sa powers, hahamakin lahat makuha lang, sample Kris binalaan pa si Nixx ipapatay, ? simple argument pa lang yun, Hacienda Luisita ? Noynoy , waahh ilan namatay?? Edsa?? peke ! 60days! dilawanpink.! Go",,"Text, Reply","Mar 10, 2022",,Emotional,0,0,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-69,23/03/23 21:24:26,https://twitter.com/CTvxq2/status/1550296923705602048,37,"Dispo, Vincent Angelo",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,"EDSA, fake revolution",@CTvxq2,Andrea**,lgbtqrstuvwxyz,Anonymous ,02/21,1 361,177,Philippines,HAHAH REAL PEOPLE POWER ANG POTA. 😂 TANGA WALA PA NGANG 1/4 NG POPULATION NG PILIPINAS ANG NASA EDSA FAKE REVOLUTION NOON. 😂 KARAMIHAN HAKOT PA AT MGA NAUTO NG MGA DILAWAN 😂,,"Text, Reply","Jul 22, 2022",,Emotional,0,1,0,0,,FALSE,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
